t,G,I,B,Te,Treg
11.16,-2738.3056,2844.1331,0.0000,6.1823,993.8182
11.17,-2741.1223,2844.1046,-0.0000,6.1823,993.8094
11.18,-2743.9389,2844.0762,-0.0000,6.1823,993.8006
11.19,-2746.7555,2844.0478,-0.0000,6.1824,993.7918
11.200000000000001,-2749.5720,2844.0193,-0.0000,6.1824,993.7830
11.21,-2752.3885,2843.9909,-0.0000,6.1825,993.7742
11.22,-2755.2049,2843.9624,-0.0000,6.1825,993.7654
11.23,-2758.0213,2843.9340,0.0000,6.1826,993.7566
11.24,-2760.8376,2843.9056,0.0000,6.1827,993.7478
11.25,-2763.6538,2843.8771,0.0000,6.1828,993.7390
11.26,-2766.4700,2843.8487,0.0000,6.1829,993.7302
11.27,-2769.2861,2843.8202,0.0000,6.1830,993.7214
11.28,-2772.1022,2843.7918,0.0000,6.1831,993.7125
11.290000000000001,-2774.9182,2843.7634,0.0000,6.1832,993.7037
11.3,-2777.7341,2843.7349,-0.0000,6.1834,993.6949
11.31,-2780.5500,2843.7065,-0.0000,6.1835,993.6861
11.32,-2783.3659,2843.6780,-0.0000,6.1837,993.6773
11.33,-2786.1817,2843.6496,-0.0000,6.1839,993.6685
11.34,-2788.9974,2843.6212,-0.0000,6.1841,993.6597
11.35,-2791.8131,2843.5927,-0.0000,6.1843,993.6509
11.36,-2794.6287,2843.5643,0.0000,6.1845,993.6421
11.370000000000001,-2797.4442,2843.5359,0.0000,6.1847,993.6333
11.38,-2800.2598,2843.5074,0.0000,6.1849,993.6245
11.39,-2803.0752,2843.4790,0.0000,6.1852,993.6157
11.4,-2805.8906,2843.4506,0.0000,6.1854,993.6069
11.41,-2808.7059,2843.4221,0.0000,6.1857,993.5981
11.42,-2811.5212,2843.3937,-0.0000,6.1860,993.5893
11.43,-2814.3364,2843.3653,-0.0000,6.1862,993.5805
11.44,-2817.1516,2843.3368,-0.0000,6.1865,993.5717
11.450000000000001,-2819.9667,2843.3084,-0.0000,6.1868,993.5629
11.46,-2822.7817,2843.2800,-0.0000,6.1871,993.5541
11.47,-2825.5967,2843.2515,0.0000,6.1875,993.5453
11.48,-2828.4117,2843.2231,0.0000,6.1878,993.5364
11.49,-2831.2266,2843.1947,0.0000,6.1882,993.5276
11.5,-2834.0414,2843.1662,0.0000,6.1885,993.5188
11.51,-2836.8561,2843.1378,0.0000,6.1889,993.5100
11.52,-2839.6709,2843.1094,0.0000,6.1893,993.5012
11.53,-2842.4855,2843.0809,-0.0000,6.1896,993.4924
11.540000000000001,-2845.3001,2843.0525,-0.0000,6.1900,993.4836
11.55,-2848.1146,2843.0241,-0.0000,6.1905,993.4748
11.56,-2850.9291,2842.9956,-0.0000,6.1909,993.4660
11.57,-2853.7436,2842.9672,-0.0000,6.1913,993.4572
11.58,-2856.5579,2842.9388,0.0000,6.1917,993.4484
11.59,-2859.3722,2842.9104,0.0000,6.1922,993.4396
11.6,-2862.1865,2842.8819,0.0000,6.1927,993.4308
11.61,-2865.0007,2842.8535,0.0000,6.1931,993.4220
11.620000000000001,-2867.8149,2842.8251,0.0000,6.1936,993.4132
11.63,-2870.6289,2842.7966,0.0000,6.1941,993.4044
11.64,-2873.4430,2842.7682,-0.0000,6.1946,993.3956
11.65,-2876.2569,2842.7398,-0.0000,6.1951,993.3868
11.66,-2879.0709,2842.7114,-0.0000,6.1956,993.3780
11.67,-2881.8847,2842.6829,-0.0000,6.1962,993.3692
11.68,-2884.6985,2842.6545,-0.0000,6.1967,993.3604
11.69,-2887.5123,2842.6261,0.0000,6.1973,993.3516
11.700000000000001,-2890.3260,2842.5977,0.0000,6.1978,993.3428
11.71,-2893.1396,2842.5692,0.0000,6.1984,993.3340
11.72,-2895.9532,2842.5408,0.0000,6.1990,993.3252
11.73,-2898.7667,2842.5124,0.0000,6.1996,993.3164
11.74,-2901.5802,2842.4840,0.0000,6.2002,993.3076
11.75,-2904.3936,2842.4555,-0.0000,6.2008,993.2988
11.76,-2907.2069,2842.4271,-0.0000,6.2014,993.2900
11.77,-2910.0202,2842.3987,-0.0000,6.2021,993.2812
11.78,-2912.8335,2842.3703,-0.0000,6.2027,993.2724
11.790000000000001,-2915.6467,2842.3418,-0.0000,6.2034,993.2636
11.8,-2918.4598,2842.3134,-0.0000,6.2040,993.2548
11.81,-2921.2729,2842.2850,0.0000,6.2047,993.2460
11.82,-2924.0859,2842.2566,0.0000,6.2054,993.2372
11.83,-2926.8988,2842.2281,0.0000,6.2061,993.2284
11.84,-2929.7117,2842.1997,0.0000,6.2068,993.2196
11.85,-2932.5246,2842.1713,0.0000,6.2075,993.2108
11.86,-2935.3374,2842.1429,0.0000,6.2083,993.2020
11.870000000000001,-2938.1501,2842.1145,-0.0000,6.2090,993.1932
11.88,-2940.9628,2842.0860,-0.0000,6.2097,993.1844
11.89,-2943.7754,2842.0576,-0.0000,6.2105,993.1757
11.9,-2946.5880,2842.0292,-0.0000,6.2113,993.1669
11.91,-2949.4005,2842.0008,-0.0000,6.2120,993.1581
11.92,-2952.2129,2841.9724,-0.0000,6.2128,993.1493
11.93,-2955.0253,2841.9439,0.0000,6.2136,993.1405
11.94,-2957.8376,2841.9155,0.0000,6.2144,993.1317
11.950000000000001,-2960.6499,2841.8871,0.0000,6.2153,993.1229
11.96,-2963.4621,2841.8587,0.0000,6.2161,993.1141
11.97,-2966.2743,2841.8303,0.0000,6.2169,993.1053
11.98,-2969.0864,2841.8018,0.0000,6.2178,993.0965
11.99,-2971.8985,2841.7734,-0.0000,6.2186,993.0877
12.0,-2974.7105,2841.7450,-0.0000,6.2195,993.0789
12.01,-2977.5224,2841.7166,-0.0000,6.2204,993.0701
12.02,-2980.3343,2841.6882,-0.0000,6.2213,993.0613
12.030000000000001,-2983.1461,2841.6598,-0.0000,6.2222,993.0525
12.040000000000001,-2985.9579,2841.6313,0.0000,6.2231,993.0437
12.05,-2988.7696,2841.6029,0.0000,6.2240,993.0350
12.06,-2991.5813,2841.5745,0.0000,6.2249,993.0262
12.07,-2994.3929,2841.5461,0.0000,6.2258,993.0174
12.08,-2997.2044,2841.5177,0.0000,6.2268,993.0086
12.09,-3000.0159,2841.4893,0.0000,6.2277,992.9998
12.1,-3002.8273,2841.4608,0.0000,6.2287,992.9910
12.11,-3005.6387,2841.4324,-0.0000,6.2297,992.9822
12.120000000000001,-3008.4500,2841.4040,-0.0000,6.2307,992.9734
12.13,-3011.2613,2841.3756,-0.0000,6.2317,992.9646
12.14,-3014.0725,2841.3472,0.0000,6.2327,992.9558
12.15,-3016.8836,2841.3188,0.0000,6.2337,992.9471
12.16,-3019.6947,2841.2904,0.0000,6.2347,992.9383
12.17,-3022.5057,2841.2619,0.0000,6.2358,992.9295
12.18,-3025.3167,2841.2335,0.0000,6.2368,992.9207
12.19,-3028.1276,2841.2051,0.0000,6.2379,992.9119
12.200000000000001,-3030.9385,2841.1767,-0.0000,6.2389,992.9031
12.21,-3033.7493,2841.1483,-0.0000,6.2400,992.8943
12.22,-3036.5601,2841.1199,-0.0000,6.2411,992.8855
12.23,-3039.3708,2841.0915,-0.0000,6.2422,992.8768
12.24,-3042.1814,2841.0631,-0.0000,6.2433,992.8680
12.25,-3044.9920,2841.0347,0.0000,6.2444,992.8592
12.26,-3047.8025,2841.0062,0.0000,6.2455,992.8504
12.27,-3050.6130,2840.9778,0.0000,6.2467,992.8416
12.280000000000001,-3053.4234,2840.9494,0.0000,6.2478,992.8328
12.290000000000001,-3056.2338,2840.9210,0.0000,6.2490,992.8240
12.3,-3059.0441,2840.8926,-0.0000,6.2501,992.8153
12.31,-3061.8543,2840.8642,-0.0000,6.2513,992.8065
12.32,-3064.6645,2840.8358,-0.0000,6.2525,992.7977
12.33,-3067.4746,2840.8074,-0.0000,6.2537,992.7889
12.34,-3070.2847,2840.7790,-0.0000,6.2549,992.7801
12.35,-3073.0947,2840.7506,-0.0000,6.2561,992.7713
12.36,-3075.9047,2840.7222,0.0000,6.2573,992.7626
12.370000000000001,-3078.7146,2840.6938,0.0000,6.2585,992.7538
12.38,-3081.5244,2840.6653,0.0000,6.2598,992.7450
12.39,-3084.3342,2840.6369,0.0000,6.2610,992.7362
12.4,-3087.1440,2840.6085,0.0000,6.2623,992.7274
12.41,-3089.9536,2840.5801,-0.0000,6.2636,992.7186
12.42,-3092.7633,2840.5517,-0.0000,6.2648,992.7099
12.43,-3095.5728,2840.5233,-0.0000,6.2661,992.7011
12.44,-3098.3823,2840.4949,-0.0000,6.2674,992.6923
12.450000000000001,-3101.1918,2840.4665,-0.0000,6.2687,992.6835
12.46,-3104.0012,2840.4381,-0.0000,6.2701,992.6747
12.47,-3106.8105,2840.4097,0.0000,6.2714,992.6660
12.48,-3109.6198,2840.3813,0.0000,6.2727,992.6572
12.49,-3112.4290,2840.3529,0.0000,6.2741,992.6484
12.5,-3115.2382,2840.3245,0.0000,6.2754,992.6396
12.51,-3118.0473,2840.2961,0.0000,6.2768,992.6309
12.52,-3120.8564,2840.2677,0.0000,6.2782,992.6221
12.530000000000001,-3123.6654,2840.2393,0.0000,6.2796,992.6133
12.540000000000001,-3126.4743,2840.2109,-0.0000,6.2809,992.6045
12.55,-3129.2832,2840.1825,-0.0000,6.2824,992.5958
12.56,-3132.0920,2840.1541,-0.0000,6.2838,992.5870
12.57,-3134.9008,2840.1257,0.0000,6.2852,992.5782
12.58,-3137.7095,2840.0973,0.0000,6.2866,992.5694
12.59,-3140.5182,2840.0689,0.0000,6.2881,992.5606
12.6,-3143.3268,2840.0405,0.0000,6.2895,992.5519
12.61,-3146.1353,2840.0121,0.0000,6.2910,992.5431
12.620000000000001,-3148.9438,2839.9837,0.0000,6.2925,992.5343
12.63,-3151.7523,2839.9553,-0.0000,6.2939,992.5256
12.64,-3154.5607,2839.9269,-0.0000,6.2954,992.5168
12.65,-3157.3690,2839.8985,-0.0000,6.2969,992.5080
12.66,-3160.1772,2839.8701,-0.0000,6.2984,992.4992
12.67,-3162.9855,2839.8417,0.0000,6.3000,992.4905
12.68,-3165.7936,2839.8133,0.0000,6.3015,992.4817
12.69,-3168.6017,2839.7849,0.0000,6.3030,992.4729
12.700000000000001,-3171.4097,2839.7565,0.0000,6.3046,992.4642
12.71,-3174.2177,2839.7281,0.0000,6.3061,992.4554
12.72,-3177.0257,2839.6997,-0.0000,6.3077,992.4466
12.73,-3179.8335,2839.6713,-0.0000,6.3093,992.4378
12.74,-3182.6413,2839.6429,-0.0000,6.3109,992.4291
12.75,-3185.4491,2839.6145,-0.0000,6.3125,992.4203
12.76,-3188.2568,2839.5861,-0.0000,6.3141,992.4115
12.77,-3191.0644,2839.5577,-0.0000,6.3157,992.4028
12.780000000000001,-3193.8720,2839.5293,0.0000,6.3173,992.3940
12.790000000000001,-3196.6796,2839.5009,0.0000,6.3189,992.3852
12.8,-3199.4870,2839.4725,0.0000,6.3206,992.3765
12.81,-3202.2945,2839.4441,0.0000,6.3222,992.3677
12.82,-3205.1018,2839.4157,0.0000,6.3239,992.3589
12.83,-3207.9091,2839.3873,-0.0000,6.3256,992.3502
12.84,-3210.7164,2839.3589,-0.0000,6.3272,992.3414
12.85,-3213.5236,2839.3305,-0.0000,6.3289,992.3326
12.86,-3216.3307,2839.3022,-0.0000,6.3306,992.3239
12.870000000000001,-3219.1378,2839.2738,-0.0000,6.3323,992.3151
12.88,-3221.9448,2839.2454,-0.0000,6.3340,992.3063
12.89,-3224.7518,2839.2170,0.0000,6.3358,992.2976
12.9,-3227.5587,2839.1886,0.0000,6.3375,992.2888
12.91,-3230.3656,2839.1602,0.0000,6.3393,992.2801
12.92,-3233.1724,2839.1318,0.0000,6.3410,992.2713
12.93,-3235.9791,2839.1034,0.0000,6.3428,992.2625
12.94,-3238.7858,2839.0750,0.0000,6.3446,992.2538
12.950000000000001,-3241.5924,2839.0466,-0.0000,6.3463,992.2450
12.96,-3244.3990,2839.0182,-0.0000,6.3481,992.2363
12.97,-3247.2055,2838.9898,-0.0000,6.3499,992.2275
12.98,-3250.0120,2838.9615,-0.0000,6.3517,992.2187
12.99,-3252.8184,2838.9331,0.0000,6.3536,992.2100
13.0,-3255.6247,2838.9047,0.0000,6.3554,992.2012
13.01,-3258.4310,2838.8763,0.0000,6.3572,992.1925
13.02,-3261.2372,2838.8479,0.0000,6.3591,992.1837
13.030000000000001,-3264.0434,2838.8195,0.0000,6.3609,992.1749
13.040000000000001,-3266.8495,2838.7911,0.0000,6.3628,992.1662
13.05,-3269.6556,2838.7627,-0.0000,6.3647,992.1574
13.06,-3272.4616,2838.7344,-0.0000,6.3666,992.1487
13.07,-3275.2676,2838.7060,-0.0000,6.3685,992.1399
13.08,-3278.0734,2838.6776,0.0000,6.3704,992.1312
13.09,-3280.8793,2838.6492,0.0000,6.3723,992.1224
13.1,-3283.6851,2838.6208,0.0000,6.3742,992.1137
13.11,-3286.4908,2838.5924,0.0000,6.3761,992.1049
13.120000000000001,-3289.2965,2838.5640,0.0000,6.3781,992.0962
13.13,-3292.1021,2838.5356,-0.0000,6.3800,992.0874
13.14,-3294.9076,2838.5073,-0.0000,6.3820,992.0786
13.15,-3297.7131,2838.4789,-0.0000,6.3840,992.0699
13.16,-3300.5186,2838.4505,-0.0000,6.3859,992.0611
13.17,-3303.3240,2838.4221,-0.0000,6.3879,992.0524
13.18,-3306.1293,2838.3937,0.0000,6.3899,992.0436
13.19,-3308.9346,2838.3653,0.0000,6.3919,992.0349
13.200000000000001,-3311.7398,2838.3370,0.0000,6.3939,992.0261
13.21,-3314.5449,2838.3086,0.0000,6.3960,992.0174
13.22,-3317.3501,2838.2802,0.0000,6.3980,992.0086
13.23,-3320.1551,2838.2518,-0.0000,6.4000,991.9999
13.24,-3322.9601,2838.2234,-0.0000,6.4021,991.9911
13.25,-3325.7650,2838.1950,-0.0000,6.4042,991.9824
13.26,-3328.5699,2838.1667,-0.0000,6.4062,991.9737
13.27,-3331.3747,2838.1383,-0.0000,6.4083,991.9649
13.280000000000001,-3334.1795,2838.1099,-0.0000,6.4104,991.9562
13.290000000000001,-3336.9842,2838.0815,0.0000,6.4125,991.9474
13.3,-3339.7889,2838.0531,0.0000,6.4146,991.9387
13.31,-3342.5935,2838.0248,0.0000,6.4167,991.9299
13.32,-3345.3980,2837.9964,0.0000,6.4189,991.9212
13.33,-3348.2025,2837.9680,0.0000,6.4210,991.9124
13.34,-3351.0069,2837.9396,0.0000,6.4231,991.9037
13.35,-3353.8113,2837.9112,0.0000,6.4253,991.8950
13.36,-3356.6156,2837.8829,-0.0000,6.4275,991.8862
13.370000000000001,-3359.4199,2837.8545,-0.0000,6.4296,991.8775
13.38,-3362.2241,2837.8261,-0.0000,6.4318,991.8687
13.39,-3365.0282,2837.7977,0.0000,6.4340,991.8600
13.4,-3367.8323,2837.7693,0.0000,6.4362,991.8513
13.41,-3370.6363,2837.7410,0.0000,6.4384,991.8425
13.42,-3373.4403,2837.7126,0.0000,6.4406,991.8338
13.43,-3376.2442,2837.6842,0.0000,6.4429,991.8250
13.44,-3379.0481,2837.6558,0.0000,6.4451,991.8163
13.450000000000001,-3381.8519,2837.6275,-0.0000,6.4473,991.8076
13.46,-3384.6556,2837.5991,-0.0000,6.4496,991.7988
13.47,-3387.4593,2837.5707,-0.0000,6.4519,991.7901
13.48,-3390.2630,2837.5423,0.0000,6.4541,991.7814
13.49,-3393.0666,2837.5140,0.0000,6.4564,991.7726
13.5,-3395.8701,2837.4856,0.0000,6.4587,991.7639
13.51,-3398.6735,2837.4572,0.0000,6.4610,991.7551
13.52,-3401.4770,2837.4288,0.0000,6.4633,991.7464
13.530000000000001,-3404.2803,2837.4005,-0.0000,6.4656,991.7377
13.540000000000001,-3407.0836,2837.3721,-0.0000,6.4680,991.7289
13.55,-3409.8869,2837.3437,-0.0000,6.4703,991.7202
13.56,-3412.6900,2837.3153,-0.0000,6.4726,991.7115
13.57,-3415.4932,2837.2870,-0.0000,6.4750,991.7028
13.58,-3418.2963,2837.2586,0.0000,6.4774,991.6940
13.59,-3421.0993,2837.2302,0.0000,6.4797,991.6853
13.6,-3423.9022,2837.2018,0.0000,6.4821,991.6766
13.61,-3426.7051,2837.1735,0.0000,6.4845,991.6678
13.620000000000001,-3429.5080,2837.1451,-0.0000,6.4869,991.6591
13.63,-3432.3108,2837.1167,-0.0000,6.4893,991.6504
13.64,-3435.1135,2837.0884,-0.0000,6.4917,991.6417
13.65,-3437.9162,2837.0600,-0.0000,6.4942,991.6329
13.66,-3440.7188,2837.0316,-0.0000,6.4966,991.6242
13.67,-3443.5214,2837.0033,-0.0000,6.4990,991.6155
13.68,-3446.3239,2836.9749,0.0000,6.5015,991.6067
13.69,-3449.1263,2836.9465,0.0000,6.5040,991.5980
13.700000000000001,-3451.9287,2836.9181,0.0000,6.5064,991.5893
13.71,-3454.7311,2836.8898,0.0000,6.5089,991.5806
13.72,-3457.5334,2836.8614,0.0000,6.5114,991.5719
13.73,-3460.3356,2836.8330,0.0000,6.5139,991.5631
13.74,-3463.1378,2836.8047,0.0000,6.5164,991.5544
13.75,-3465.9399,2836.7763,-0.0000,6.5189,991.5457
13.76,-3468.7419,2836.7479,-0.0000,6.5215,991.5370
13.77,-3471.5439,2836.7196,-0.0000,6.5240,991.5282
13.780000000000001,-3474.3459,2836.6912,0.0000,6.5266,991.5195
13.790000000000001,-3477.1478,2836.6628,0.0000,6.5291,991.5108
13.8,-3479.9496,2836.6345,0.0000,6.5317,991.5021
13.81,-3482.7514,2836.6061,0.0000,6.5342,991.4934
13.82,-3485.5531,2836.5777,0.0000,6.5368,991.4847
13.83,-3488.3548,2836.5494,-0.0000,6.5394,991.4759
13.84,-3491.1564,2836.5210,-0.0000,6.5420,991.4672
13.85,-3493.9579,2836.4926,-0.0000,6.5446,991.4585
13.86,-3496.7594,2836.4643,0.0000,6.5472,991.4498
13.870000000000001,-3499.5609,2836.4359,0.0000,6.5499,991.4411
13.88,-3502.3622,2836.4075,0.0000,6.5525,991.4324
13.89,-3505.1636,2836.3792,0.0000,6.5552,991.4236
13.9,-3507.9648,2836.3508,0.0000,6.5578,991.4149
13.91,-3510.7660,2836.3225,-0.0000,6.5605,991.4062
13.92,-3513.5672,2836.2941,-0.0000,6.5631,991.3975
13.93,-3516.3683,2836.2657,-0.0000,6.5658,991.3888
13.94,-3519.1694,2836.2374,-0.0000,6.5685,991.3801
13.950000000000001,-3521.9703,2836.2090,-0.0000,6.5712,991.3714
13.96,-3524.7713,2836.1806,0.0000,6.5739,991.3627
13.97,-3527.5721,2836.1523,0.0000,6.5766,991.3540
13.98,-3530.3730,2836.1239,0.0000,6.5794,991.3453
13.99,-3533.1737,2836.0956,0.0000,6.5821,991.3365
14.0,-3535.9744,2836.0672,-0.0000,6.5848,991.3278
14.01,-3538.7751,2836.0388,-0.0000,6.5876,991.3191
14.02,-3541.5757,2836.0105,-0.0000,6.5904,991.3104
14.030000000000001,-3544.3762,2835.9821,-0.0000,6.5931,991.3017
14.040000000000001,-3547.1767,2835.9538,-0.0000,6.5959,991.2930
14.05,-3549.9771,2835.9254,-0.0000,6.5987,991.2843
14.06,-3552.7775,2835.8970,0.0000,6.6015,991.2756
14.07,-3555.5778,2835.8687,0.0000,6.6043,991.2669
14.08,-3558.3780,2835.8403,0.0000,6.6071,991.2582
14.09,-3561.1782,2835.8120,0.0000,6.6100,991.2495
14.1,-3563.9784,2835.7836,0.0000,6.6128,991.2408
14.11,-3566.7785,2835.7552,0.0000,6.6156,991.2321
14.120000000000001,-3569.5785,2835.7269,-0.0000,6.6185,991.2234
14.13,-3572.3785,2835.6985,-0.0000,6.6213,991.2147
14.14,-3575.1784,2835.6702,-0.0000,6.6242,991.2060
14.15,-3577.9783,2835.6418,0.0000,6.6271,991.1973
14.16,-3580.7781,2835.6135,0.0000,6.6300,991.1886
14.17,-3583.5778,2835.5851,0.0000,6.6329,991.1799
14.18,-3586.3775,2835.5567,0.0000,6.6358,991.1712
14.19,-3589.1771,2835.5284,0.0000,6.6387,991.1625
14.200000000000001,-3591.9767,2835.5000,0.0000,6.6416,991.1538
14.21,-3594.7762,2835.4717,-0.0000,6.6446,991.1451
14.22,-3597.5757,2835.4433,-0.0000,6.6475,991.1364
14.23,-3600.3751,2835.4150,0.0000,6.6504,991.1278
14.24,-3603.1745,2835.3866,0.0000,6.6534,991.1191
14.25,-3605.9738,2835.3583,0.0000,6.6564,991.1104
14.26,-3608.7730,2835.3299,0.0000,6.6594,991.1017
14.27,-3611.5722,2835.3016,0.0000,6.6623,991.0930
14.280000000000001,-3614.3713,2835.2732,-0.0000,6.6653,991.0843
14.290000000000001,-3617.1704,2835.2449,-0.0000,6.6683,991.0756
14.3,-3619.9694,2835.2165,-0.0000,6.6714,991.0669
14.31,-3622.7684,2835.1881,-0.0000,6.6744,991.0582
14.32,-3625.5673,2835.1598,-0.0000,6.6774,991.0495
14.33,-3628.3661,2835.1314,0.0000,6.6804,991.0409
14.34,-3631.1649,2835.1031,0.0000,6.6835,991.0322
14.35,-3633.9636,2835.0747,0.0000,6.6866,991.0235
14.36,-3636.7623,2835.0464,0.0000,6.6896,991.0148
14.370000000000001,-3639.5609,2835.0180,-0.0000,6.6927,991.0061
14.38,-3642.3595,2834.9897,-0.0000,6.6958,990.9974
14.39,-3645.1580,2834.9613,-0.0000,6.6989,990.9888
14.4,-3647.9564,2834.9330,-0.0000,6.7020,990.9801
14.41,-3650.7548,2834.9046,-0.0000,6.7051,990.9714
14.42,-3653.5532,2834.8763,-0.0000,6.7082,990.9627
14.43,-3656.3515,2834.8479,0.0000,6.7113,990.9540
14.44,-3659.1497,2834.8196,0.0000,6.7145,990.9454
14.450000000000001,-3661.9479,2834.7913,0.0000,6.7176,990.9367
14.46,-3664.7460,2834.7629,0.0000,6.7208,990.9280
14.47,-3667.5440,2834.7346,0.0000,6.7239,990.9193
14.48,-3670.3420,2834.7062,0.0000,6.7271,990.9106
14.49,-3673.1400,2834.6779,-0.0000,6.7303,990.9020
14.5,-3675.9379,2834.6495,-0.0000,6.7335,990.8933
14.51,-3678.7357,2834.6212,-0.0000,6.7367,990.8846
14.52,-3681.5335,2834.5928,0.0000,6.7399,990.8760
14.530000000000001,-3684.3312,2834.5645,0.0000,6.7431,990.8673
14.540000000000001,-3687.1289,2834.5361,0.0000,6.7463,990.8586
14.55,-3689.9265,2834.5078,0.0000,6.7496,990.8499
14.56,-3692.7240,2834.4794,0.0000,6.7528,990.8413
14.57,-3695.5215,2834.4511,-0.0000,6.7561,990.8326
14.58,-3698.3189,2834.4228,-0.0000,6.7593,990.8239
14.59,-3701.1163,2834.3944,-0.0000,6.7626,990.8153
14.6,-3703.9136,2834.3661,0.0000,6.7659,990.8066
14.61,-3706.7109,2834.3377,0.0000,6.7692,990.7979
14.620000000000001,-3709.5081,2834.3094,0.0000,6.7725,990.7893
14.63,-3712.3053,2834.2810,0.0000,6.7758,990.7806
14.64,-3715.1024,2834.2527,-0.0000,6.7791,990.7719
14.65,-3717.8994,2834.2243,-0.0000,6.7824,990.7633
14.66,-3720.6964,2834.1960,-0.0000,6.7858,990.7546
14.67,-3723.4933,2834.1677,-0.0000,6.7891,990.7459
14.68,-3726.2902,2834.1393,-0.0000,6.7925,990.7373
14.69,-3729.0870,2834.1110,0.0000,6.7958,990.7286
14.700000000000001,-3731.8838,2834.0826,0.0000,6.7992,990.7199
14.71,-3734.6805,2834.0543,0.0000,6.8026,990.7113
14.72,-3737.4772,2834.0260,0.0000,6.8060,990.7026
14.73,-3740.2737,2833.9976,-0.0000,6.8094,990.6940
14.74,-3743.0703,2833.9693,-0.0000,6.8128,990.6853
14.75,-3745.8668,2833.9409,-0.0000,6.8162,990.6767
14.76,-3748.6632,2833.9126,-0.0000,6.8196,990.6680
14.77,-3751.4596,2833.8843,-0.0000,6.8230,990.6593
14.780000000000001,-3754.2559,2833.8559,-0.0000,6.8265,990.6507
14.790000000000001,-3757.0521,2833.8276,0.0000,6.8299,990.6420
14.8,-3759.8483,2833.7992,0.0000,6.8334,990.6334
14.81,-3762.6445,2833.7709,0.0000,6.8368,990.6247
14.82,-3765.4406,2833.7426,0.0000,6.8403,990.6161
14.83,-3768.2366,2833.7142,0.0000,6.8438,990.6074
14.84,-3771.0326,2833.6859,0.0000,6.8473,990.5988
14.85,-3773.8285,2833.6576,-0.0000,6.8508,990.5901
14.86,-3776.6243,2833.6292,-0.0000,6.8543,990.5815
14.870000000000001,-3779.4201,2833.6009,0.0000,6.8578,990.5728
14.88,-3782.2159,2833.5726,0.0000,6.8613,990.5642
14.89,-3785.0116,2833.5442,0.0000,6.8649,990.5555
14.9,-3787.8072,2833.5159,0.0000,6.8684,990.5469
14.91,-3790.6028,2833.4875,0.0000,6.8720,990.5382
14.92,-3793.3983,2833.4592,-0.0000,6.8756,990.5296
14.93,-3796.1938,2833.4309,-0.0000,6.8791,990.5210
14.94,-3798.9892,2833.4025,-0.0000,6.8827,990.5123
14.950000000000001,-3801.7846,2833.3742,0.0000,6.8863,990.5037
14.96,-3804.5798,2833.3459,0.0000,6.8899,990.4950
14.97,-3807.3751,2833.3175,0.0000,6.8935,990.4864
14.98,-3810.1703,2833.2892,0.0000,6.8971,990.4777
14.99,-3812.9654,2833.2609,-0.0000,6.9007,990.4691
15.0,-3815.7605,2833.2325,-0.0000,6.9044,990.4605
15.01,-3818.5555,2833.2042,-0.0000,6.9080,990.4518
15.02,-3821.3505,2833.1759,-0.0000,6.9117,990.4432
15.030000000000001,-3824.1454,2833.1475,-0.0000,6.9153,990.4346
15.040000000000001,-3826.9402,2833.1192,0.0000,6.9190,990.4259
15.05,-3829.7350,2833.0909,0.0000,6.9227,990.4173
15.06,-3832.5297,2833.0626,0.0000,6.9264,990.4086
15.07,-3835.3244,2833.0342,0.0000,6.9301,990.4000
15.08,-3838.1190,2833.0059,-0.0000,6.9338,990.3914
15.09,-3840.9136,2832.9776,-0.0000,6.9375,990.3828
15.1,-3843.7081,2832.9492,-0.0000,6.9412,990.3741
15.11,-3846.5026,2832.9209,-0.0000,6.9449,990.3655
15.120000000000001,-3849.2970,2832.8926,-0.0000,6.9487,990.3569
15.13,-3852.0913,2832.8642,-0.0000,6.9524,990.3482
15.14,-3854.8856,2832.8359,0.0000,6.9562,990.3396
15.15,-3857.6798,2832.8076,0.0000,6.9600,990.3310
15.16,-3860.4740,2832.7793,0.0000,6.9637,990.3224
15.17,-3863.2681,2832.7509,0.0000,6.9675,990.3137
15.18,-3866.0622,2832.7226,0.0000,6.9713,990.3051
15.19,-3868.8562,2832.6943,-0.0000,6.9751,990.2965
15.200000000000001,-3871.6501,2832.6660,-0.0000,6.9789,990.2879
15.21,-3874.4440,2832.6376,-0.0000,6.9827,990.2792
15.22,-3877.2378,2832.6093,0.0000,6.9866,990.2706
15.23,-3880.0316,2832.5810,0.0000,6.9904,990.2620
15.24,-3882.8253,2832.5527,0.0000,6.9942,990.2534
15.25,-3885.6190,2832.5243,0.0000,6.9981,990.2448
15.26,-3888.4126,2832.4960,0.0000,7.0020,990.2361
15.27,-3891.2062,2832.4677,-0.0000,7.0058,990.2275
15.280000000000001,-3893.9997,2832.4394,-0.0000,7.0097,990.2189
15.290000000000001,-3896.7931,2832.4110,0.0000,7.0136,990.2103
15.3,-3899.5865,2832.3827,0.0000,7.0175,990.2017
15.31,-3902.3798,2832.3544,0.0000,7.0214,990.1931
15.32,-3905.1731,2832.3261,0.0000,7.0253,990.1844
15.33,-3907.9663,2832.2977,0.0000,7.0293,990.1758
15.34,-3910.7595,2832.2694,-0.0000,7.0332,990.1672
15.35,-3913.5526,2832.2411,-0.0000,7.0371,990.1586
15.36,-3916.3456,2832.2128,-0.0000,7.0411,990.1500
15.370000000000001,-3919.1386,2832.1844,-0.0000,7.0450,990.1414
