t,G,I,B,Te,Treg
0.88,57.1843,1019.9299,13936.6714,53.2682,1001.7768
0.89,56.1569,1033.8828,13990.0464,52.6893,1001.7764
0.9,55.1155,1047.8893,14042.4446,52.1211,1001.7759
0.91,54.0602,1061.9483,14093.8411,51.5641,1001.7753
0.92,52.9908,1076.0588,14144.1928,51.0183,1001.7746
0.93,51.9074,1090.2194,14193.4571,50.4833,1001.7738
0.9400000000000001,50.8098,1104.4290,14241.5922,49.9589,1001.7729
0.9500000000000001,49.6980,1118.6862,14288.5565,49.4449,1001.7719
0.96,48.5719,1132.9898,14334.3093,48.9411,1001.7708
0.97,47.4315,1147.3383,14378.8103,48.4472,1001.7696
0.98,46.2768,1161.7306,14422.0199,47.9631,1001.7684
0.99,45.1077,1176.1650,14463.8990,47.4885,1001.7670
1.0,43.9241,1190.6404,14504.4089,47.0231,1001.7656
1.01,42.7260,1205.1551,14543.5119,46.5669,1001.7641
1.02,41.5134,1219.7078,14581.1704,46.1195,1001.7625
1.03,40.2862,1234.2968,14617.3476,45.6808,1001.7608
1.04,39.0444,1248.9208,14652.0073,45.2505,1001.7590
1.05,37.7879,1263.5781,14685.1137,44.8285,1001.7572
1.06,36.5168,1278.2672,14716.6318,44.4145,1001.7553
1.07,35.2309,1292.9865,14746.5270,44.0084,1001.7533
1.08,33.9303,1307.7342,14774.7654,43.6099,1001.7512
1.09,32.6149,1322.5089,14801.3134,43.2189,1001.7491
1.1,31.2847,1337.3086,14826.1384,42.8352,1001.7469
1.11,29.9397,1352.1319,14849.2079,42.4585,1001.7446
1.12,28.5798,1366.9768,14870.4903,42.0888,1001.7423
1.1300000000000001,27.2051,1381.8417,14889.9545,41.7257,1001.7399
1.1400000000000001,25.8155,1396.7246,14907.5699,41.3691,1001.7374
1.1500000000000001,24.4109,1411.6239,14923.3065,41.0189,1001.7348
1.16,22.9915,1426.5376,14937.1349,40.6748,1001.7322
1.17,21.5572,1441.4639,14949.0262,40.3367,1001.7296
1.18,20.1079,1456.4008,14958.9521,40.0044,1001.7268
1.19,18.6437,1471.3464,14966.8850,39.6778,1001.7240
1.2,17.1645,1486.2988,14972.7976,39.3566,1001.7212
1.21,15.6704,1501.2559,14976.6635,39.0407,1001.7183
1.22,14.1613,1516.2157,14978.4565,38.7299,1001.7153
1.23,12.6373,1531.1762,14978.1513,38.4240,1001.7123
1.24,11.0984,1546.1353,14975.7230,38.1230,1001.7092
1.25,9.5445,1561.0909,14971.1473,37.8266,1001.7061
1.26,7.9757,1576.0409,14964.4004,37.5347,1001.7029
1.27,6.3919,1590.9831,14955.4593,37.2471,1001.6997
1.28,4.7933,1605.9153,14944.3012,36.9637,1001.6964
1.29,3.1797,1620.8353,14930.9043,36.6844,1001.6931
1.3,1.5513,1635.7409,14915.2469,36.4089,1001.6897
1.31,-0.0920,1650.6298,14897.3084,36.1371,1001.6862
1.32,-1.7501,1665.4997,14877.0683,35.8689,1001.6828
1.33,-3.4231,1680.3483,14854.5069,35.6042,1001.6792
1.34,-5.1109,1695.1732,14829.6050,35.3427,1001.6756
1.35,-6.8134,1709.9721,14802.3440,35.0845,1001.6720
1.36,-8.5307,1724.7425,14772.7060,34.8292,1001.6683
1.37,-10.2627,1739.4826,14740.6634,34.5770,1001.6646
1.3800000000000001,-12.0092,1754.1948,14706.1038,34.3280,1001.6609
1.3900000000000001,-13.7704,1768.8773,14669.0116,34.0823,1001.6571
1.4000000000000001,-15.5460,1783.5268,14629.4024,33.8400,1001.6532
1.41,-17.3361,1798.1400,14587.2925,33.6009,1001.6493
1.42,-19.1407,1812.7139,14542.6990,33.3650,1001.6454
1.43,-20.9597,1827.2452,14495.6398,33.1323,1001.6414
1.44,-22.7931,1841.7309,14446.1333,32.9027,1001.6374
1.45,-24.6408,1856.1679,14394.1989,32.6762,1001.6333
1.46,-26.5028,1870.5534,14339.8567,32.4527,1001.6292
1.47,-28.3790,1884.8844,14283.1275,32.2321,1001.6251
1.48,-30.2694,1899.1580,14224.0328,32.0145,1001.6209
1.49,-32.1740,1913.3715,14162.5950,31.7998,1001.6167
1.5,-34.0927,1927.5220,14098.8371,31.5879,1001.6124
1.51,-36.0254,1941.6070,14032.7829,31.3788,1001.6081
1.52,-37.9721,1955.6237,13964.4569,31.1724,1001.6038
1.53,-39.9327,1969.5697,13893.8845,30.9688,1001.5994
1.54,-41.9072,1983.4422,13821.0917,30.7678,1001.5950
1.55,-43.8955,1997.2390,13746.1053,30.5694,1001.5906
1.56,-45.8975,2010.9575,13668.9528,30.3736,1001.5861
1.57,-47.9132,2024.5955,13589.6625,30.1803,1001.5816
1.58,-49.9424,2038.1505,13508.2635,29.9895,1001.5770
1.59,-51.9852,2051.6203,13424.7854,29.8012,1001.5724
1.6,-54.0415,2065.0028,13339.2590,29.6153,1001.5678
1.61,-56.1111,2078.2958,13251.7153,29.4317,1001.5632
1.62,-58.1940,2091.4971,13162.1865,29.2505,1001.5585
1.6300000000000001,-60.2900,2104.6048,13070.7052,29.0715,1001.5537
1.6400000000000001,-62.3993,2117.6168,12977.3052,28.8948,1001.5490
1.6500000000000001,-64.5215,2130.5313,12882.0204,28.7203,1001.5442
1.6600000000000001,-66.6567,2143.3463,12784.8861,28.5480,1001.5394
1.67,-68.8047,2156.0601,12685.9379,28.3778,1001.5345
1.68,-70.9655,2168.6708,12585.2124,28.2097,1001.5297
1.69,-73.1390,2181.1768,12482.7468,28.0436,1001.5248
1.7,-75.3250,2193.5763,12378.5791,27.8796,1001.5198
1.71,-77.5235,2205.8678,12272.7480,27.7175,1001.5149
1.72,-79.7343,2218.0498,12165.2931,27.5574,1001.5099
1.73,-81.9574,2230.1207,12056.2546,27.3992,1001.5048
1.74,-84.1927,2242.0791,11945.6734,27.2428,1001.4998
1.75,-86.4400,2253.9236,11833.5914,27.0883,1001.4947
