,Glicose,Insulina,Beta,T,TReg
398.7498437304663,232.9978178437116,2.1118888752647176,159.00201526663196,2.4339141914888813,15.292271885587436
398.849856232029,232.98968708227167,2.112418907614198,158.93356069763954,2.433682472620409,15.293664158560738
398.9498687335917,232.9815840100237,2.1129940513585765,158.85634578379313,2.433450842896906,15.295056182860199
399.0498812351544,232.97347368362225,2.1135501996355135,158.78288629757407,2.4332193022576094,15.296447958597613
399.1498937367171,232.9653290013804,2.1140376392048745,158.72288601335615,2.4329878506417755,15.297839485884696
399.2499062382798,232.95713067265822,2.1144209942214895,158.68324772208507,2.4327564879886783,15.299230764833085
399.3499187398425,232.9488672178627,2.1146792262351566,158.66807323127847,2.4325252142376104,15.300621795554342
399.4499312414052,232.9405349684477,2.1148056341906374,158.6786633650259,2.4322940293278825,15.302012578159944
399.54994374296786,232.9321380669141,2.1148078544276623,158.71351796398883,2.4320629331988233,15.303403112761297
399.6499562445306,232.92368846680955,2.114707860680926,158.76833588540077,2.4318319257897794,15.304793399469723
399.74996874609326,232.91520593272878,2.11454196408009,158.836015003067,2.4316010070401157,15.30618343839647
399.849981247656,232.9067180403133,2.1143608131497813,158.90665220736486,2.431370176889215,15.307573229652704
399.94999374921866,232.89826017625163,2.114229393809594,158.9675434052435,2.431139435276479,15.308962773349515
400.05000625078134,232.88987553827917,2.1142270293740877,159.00318352022416,2.4309087821413264,15.310352069597913
400.15001875234407,232.88161439619944,2.1144460226756316,158.99553236437256,2.4306782174231953,15.311741118508833
400.25003125390674,232.87343899486652,2.1148169461633,158.9582053914986,2.4304477410616525,15.31312992019312
400.3500437554694,232.86528263017468,2.115217267745787,158.91516574879284,2.4302173529966877,15.314518474761512
400.45005625703214,232.8571234616398,2.115606904845218,158.8742281546214,2.429987053168395,15.315906782324664
400.5500687585948,232.84894444079686,2.115954572708952,158.8414912459959,2.429756841516884,15.31729484299315
400.65008126015755,232.84073331119995,2.116237784409588,158.8213375785736,2.4295267179822795,15.318682656877469
400.7500937617202,232.83248260842237,2.116442850844957,158.8164336266573,2.429296682504723,15.320070224088042
400.8501062632829,232.82418966005648,2.116564880738129,158.82772978319528,2.4290667350243718,15.321457544735214
400.9501187648456,232.8158565857138,2.116607780637408,158.85446035978148,2.4288368754813976,15.32284461892925
401.0501312664083,232.80749029702494,2.1165842549163365,158.89414358665528,2.4286071038159895,15.324231446780344
