,Glicose,Insulina,Beta,T,TReg
0.0,80.0,12.0,800.0,1.0,0.0
0.10001250156269534,79.93998960085906,11.989758518609866,790.6087208345914,1.0785025133003403,0.0
0.20002500312539068,79.880880071043,11.975192903653031,781.0358820306484,1.1559781028474259,0.0
0.300037504688086,79.82282929262351,11.95635932846771,771.3023991909961,1.2324102878146923,0.0
0.40005000625078135,79.76599723781017,11.933333775241936,761.4289953857062,1.3077858728557206,0.0
0.5000625078134767,79.71053856506742,11.906197362528832,751.4357752005405,1.3820934211507283,0.0
0.600075009376172,79.65660237822998,11.875035875694486,741.3422130022694,1.4553232058566299,0.0
0.7000875109388673,79.60433222650276,11.839939766917952,731.1671529386716,1.527467210107035,0.0
0.8001000125015627,79.55386610446094,11.801004155191249,720.9288089385345,1.5985191270122487,0.0
0.9001125140642581,79.50533645204992,11.758328826319364,710.644764711654,1.6684743596592724,0.0
1.0001250156269534,79.45887015458537,11.712018232920244,700.3319737488347,1.7373300211118026,0.0
1.1001375171896488,79.41458854275318,11.662181494424809,690.0067593218894,1.8050849344102322,0.0
1.200150018752344,79.37260739260948,11.608932397076941,679.6848144836398,1.8717396325716489,0.0
1.3001625203150393,79.33303692558064,11.552389393933487,669.3812020679161,1.9372963585898368,0.0
1.4001750218777347,79.29598383974667,11.492653783882187,659.1120809567394,2.0017541679558564,0.0
1.50018752344043,79.26155987963831,11.429730481822002,648.9007219026728,2.065091022550322,0.0
1.6002000250031254,79.22986033539723,11.363766823372274,638.7582427146268,2.12731742704248,0.0
1.7002125265658208,79.20097339557935,11.294933125848859,628.6932322110289,2.1884499088524048,0.0
1.8002250281285161,79.17498252776352,11.223395563873565,618.7139170450116,2.248504950314987,0.0
1.9002375296912115,79.15196647855157,11.149316169374142,608.828161704412,2.3074989886799346,0.0
2.000250031253907,79.13199927356828,11.072852831584287,599.043468511772,2.3654484161117693,0.0
2.1002625328166022,79.11515021746139,10.99415929704364,589.3669776243382,2.4223695796898315,0.0
2.2002750343792976,79.1014838939016,10.913385169597788,579.8054670340623,2.4782787814082763,0.0
2.300287535941993,79.09106016558253,10.830675910398263,570.3653525676004,2.5331922781760756,0.0
2.400300037504688,79.08393417422083,10.746172837902545,561.0526878863137,2.587126281817018,0.0
2.5003125390673833,79.080156340556,10.660013127874056,551.8731644862677,2.640096959069708,0.0
2.6003250406300786,79.0797723643506,10.572329813382165,542.8321116982332,2.6921204315875658,0.0
2.700337542192774,79.08282322439008,10.483251784802185,533.9344966876855,2.7432127759388285,0.0
2.8003500437554694,79.08934517848287,10.392903789815378,525.1849244548048,2.793390023606549,0.0
2.9003625453181647,79.09936976346034,10.301406433408948,516.5876378344759,2.8426681609885964,0.0
3.00037504688086,79.11292379517684,10.208876177876046,508.14651749628854,2.8910631293976574,0.0
3.1003875484435555,79.13002936850965,10.115425342815769,499.86508194453734,2.9385908250612327,0.0
3.200400050006251,79.15070385735903,10.021162105133156,491.74648751822133,2.9852670991216406,0.0
3.300412551568946,79.17495991464817,9.926190499039198,483.7935283910447,3.0311077576360153,0.0
3.4004250531316416,79.20280547232322,9.830610416050822,476.00863657141605,3.076128561576308,0.0
3.500437554694337,79.23424374135331,9.734517604990911,468.39388190244904,3.1203452268292846,0.0
3.6004500562570323,79.2692732117305,9.638003671988288,460.95097206196226,3.1637734241965285,0.0
3.7004625578197277,79.30788765246983,9.54115608047772,453.68125256247856,3.2064287793944386,0.0
3.800475059382423,79.35007611160925,9.444058151199922,446.5857067512259,3.248326873054231,0.0
3.9004875609451184,79.39582291620971,9.346789062201555,439.66495581013703,3.289483240721937,0.0
4.000500062507814,79.4451076723551,9.249423848835225,432.91925875584946,3.329913372858405,0.0
4.100512564070509,79.49790526515227,9.152033403759479,426.34851243970536,3.369632714839298,0.0
4.2005250656332045,79.55418585873102,9.054684476938816,419.95225154775164,3.4086566669550984,0.0
4.300537567195899,79.6139148962441,8.957439675643679,413.72964860074035,3.447000584411101,0.0
4.400550068758595,79.67705309986722,8.860357464450452,407.67951395412786,3.484679777327419,0.0
4.50056257032129,79.74355647079906,8.763492165241471,401.8002957980756,3.5217095107389826,0.0
4.600575071883986,79.81337628926124,8.666893957205012,396.0900801574497,3.5581050045955367,0.0
4.700587573446681,79.88645911449834,8.570608876835301,390.546590891821,3.593881433761642,0.0
4.800600075009376,79.9628431201203,8.474790411824221,385.1643349892665,3.62906426350273,0.0
4.900612576572072,80.04273237874102,8.379778279707917,379.9330277229748,3.6636968415176367,0.0
5.0006250781347665,80.1260598431065,8.28559018431652,374.8508531724156,3.697793028049023,0.0
5.100637579697462,80.2127438658502,8.192225236996956,369.91640947120703,3.7313648029602895,0.0
5.200650081260157,80.30270599665626,8.099684775361421,365.12816564029885,3.764424181032994,0.0
5.300662582822853,80.3958709822596,8.00797236328739,360.4844615879719,3.7969832119668534,0.0
