,Glicose,Insulina,Beta,T,TReg
0.0,80.0,12.0,800.0,1.0,1.0
0.10001250156269534,79.93184503899919,11.91929542472492,792.2650333050199,1.2582185602857607,1.0436038157089262
0.20002500312539068,79.86735429842015,11.836772548066037,783.3468389442417,1.4919029817393956,1.0983715087913595
0.300037504688086,79.80659427152688,11.75172859446218,773.441855765255,1.7003023048823322,1.1628923488000007
0.40005000625078135,79.74971261510082,11.66366970905992,762.7472944423347,1.8831882851314905,1.2356727711250257
0.5000625078134767,79.6968430706414,11.57223230702531,751.4470969273411,2.040699443886089,1.3153061697254997
0.600075009376172,79.64810546436591,11.477183073543879,739.7119364497205,2.1733410685276433,1.400472897129377
0.7000875109388673,79.60360570720955,11.378418963820646,727.6992175165044,2.28198521241997,1.489940264433501
0.8001000125015627,79.56343579482548,11.275967203080109,715.5530759123101,2.3678706949091843,1.5825625413036044
0.9001125140642581,79.52767380758472,11.169985286566249,703.4043786993406,2.432603101323698,1.6772809559743085
1.0001250156269534,79.49638391057624,11.060760979542527,691.3707242173841,2.4781547829742236,1.773123695249125
1.1001375171896488,79.46961555021065,10.948663955987278,679.5537130407826,2.506772386009773,1.8692089869411617
1.200150018752344,79.44743235224567,10.833843065599549,668.0161117100043,2.519954097308183,1.9647839663417428
1.3001625203150393,79.42994235277284,10.716787484315924,656.815462554776,2.5191472101591685,2.059194521671275
1.4001750218777347,79.41723270673192,10.598034845699704,646.0032396893588,2.505881129319411,2.1518627130826324
1.50018752344043,79.4093624550182,10.478081545593408,635.6210654594076,2.4816653618205975,2.2422888194916317
1.6002000250031254,79.40636252448245,10.35738274211877,625.700710441971,2.447989516969417,2.330051338577031
1.7002125265658208,79.40823572793097,10.236352355676738,616.2640934454909,2.406323306347563,2.4148069867805293
1.8002250281285161,79.41495676412559,10.115363068947477,607.3232815098035,2.358116543811733,2.496290699306768
1.9002375296912115,79.42647221778364,9.99474632689037,598.8804899061381,2.3047991454936265,2.5743156301233303
2.000250031253907,79.44270055957799,9.87479233674401,590.928082137118,2.2477811297999484,2.64877315196074
2.1002625328166022,79.46353214613698,9.755750068026211,583.4485699367604,2.1884526174124064,2.719632856312463
2.2002750343792976,79.48883799669134,9.637833316930601,576.417169067756,2.128142460470891,2.786926849203726
2.300287535941993,79.51862549708846,9.521361729748296,569.8454532798803,2.067246432642412,2.850503115268842
2.400300037504688,79.55283420985587,9.40666036437613,563.7213236200928,2.0060519519030304,2.9104167980207394
2.5003125390673833,79.59135080304097,9.29399794254435,558.0187754848589,1.945000703400436,2.966819020200473
2.6003250406300786,79.63405991260646,9.183611209271257,552.7134001467513,1.884496289070651,3.0198542897029697
2.700337542192774,79.68084414243042,9.075704932863209,547.78238475445,1.8249042276380283,3.0696604995770294
2.8003500437554694,79.73158406430628,8.970451904914613,543.2045123327428,1.7665519546152517,3.1163689280253246
2.9003625453181647,79.78615821794281,8.86799294030793,538.9601617825242,1.7097288223033362,3.160104238404399
3.00037504688086,79.84444311096419,8.768436877213679,535.0313078807967,1.6546860997916277,3.2009844792246698
3.1003875484435555,79.90631321890989,8.671860577090428,531.40152128067,1.6016369729578028,3.239121084150426
3.200400050006251,79.97164098523476,8.5783089246848,528.0559685113607,1.5507565444678697,3.27461887199983
3.300412551568946,80.04029682130901,8.487794828031472,524.9814119781936,1.5021818337761674,3.307576046744915
3.4004250531316416,80.11214910641822,8.400299218453178,522.1662099626003,1.4560117771253656,3.338084197511588
3.500437554694337,80.1870641877633,8.315771050560697,519.60031662212,1.4123072275464656,3.3662282985796277
3.6004500562570323,80.26490638046053,8.234127302252869,517.2752819903992,1.3710909548587997,3.392086709382685
3.7004625578197277,80.34555889283598,8.15538758109164,515.1748960505334,1.3323126099640836,3.415802905553581
3.800475059382423,80.42892160268072,8.079745030792516,513.2692111772509,1.2958275382204771,3.437630016631318
3.9004875609451184,80.5148475666282,8.0071357473351,511.5454201212068,1.2615408661597478,3.4576901127470276
4.000500062507814,80.60319419620839,7.9374882067473855,509.99187081237267,1.2293622125759158,3.4760956194194113
4.100512564070509,80.69382503543405,7.870733337493934,508.59738724643273,1.1992033048554267,3.4929545181465147
4.2005250656332045,80.78660976080067,7.80680452047588,507.3512694847843,1.17097797897715,3.508370346405729
4.300537567195899,80.88142418128663,7.745637589030932,506.24329365453747,1.1446021795123804,3.52244219765379
4.400550068758595,80.97815023835304,7.6871708289333665,505.26371194851527,1.1199939596248363,3.5352647213267776
4.50056257032129,81.07667600594378,7.6313449783940355,504.4032526252537,1.0970734810706615,3.5469281228401166
4.600575071883986,81.17689569048558,7.578103228060359,503.65312000900155,1.0757630141984245,3.5575181635885764
4.700587573446681,81.27870963088793,7.527391221016329,503.00499448972073,1.0559869379491171,3.567116160946272
4.800600075009376,81.38202429854309,7.4791570527825115,502.45103252308576,1.0376717398561577,3.5757989882666616
4.900612576572072,81.48675229732615,7.433351271316043,501.98386663048433,1.020746016045387,3.5836390748825497
