,Glicose,Insulina,Beta,T
0.0,80.0,12.0,800.0,1.0
0.10002000400080016,79.93212632765416,11.8980786525863,739.120719032275,1.0183522940023328
0.20004000800160032,79.86986095025087,11.75725791200231,682.5525748537522,1.036701834816422
0.3000600120024005,79.81483260185138,11.58374643528724,630.0348088778295,1.0550486228552973
0.40008001600320064,79.76778293944055,11.381420527024094,581.429760727209,1.073392658531927
0.5001000200040008,79.72940257782781,11.154060464475485,536.5821257057328,1.0917339422592163
0.600120024004801,79.70035129246514,10.905405226647574,495.3154306331605,1.1100724744500097
0.7001400280056012,79.68125801944717,10.639152494290059,457.43203384516875,1.128408255517089
0.8001600320064013,79.67272085551106,10.358958649896179,422.7131251933517,1.1467412858731745
0.9001800360072014,79.67530705803661,10.068438777702713,390.91872604522035,1.1650715659309245
1.0002000400080016,79.68955304504621,9.771166663689986,361.7876892842031,1.1833990961029353
1.1002200440088017,79.71596439520482,9.47067479558186,335.0376993096458,1.2017238768017413
1.200240048009602,79.75482483738568,9.169768951644434,310.42371483597367,1.2200459084398152
1.3002600520104022,79.80575326529019,8.86904306403754,287.88301783373265,1.2383651914295675
1.4002800560112023,79.8684186885078,8.56933168714819,267.33223933769256,1.256681726183347
1.5003000600120024,79.94253288677272,8.271542050669057,248.67073021525707,1.2749955131134405
1.6003200640128026,80.02784270556414,7.976624382977608,231.78288372020796,1.2933065526320733
1.7003400680136027,80.12413005610618,7.6855719111361305,216.53813549270504,1.3116148451514085
1.8003600720144028,80.23121191536791,7.399420860891716,202.79096355928618,1.3299203910835475
1.900380076015203,80.34894032606334,7.1192504566762675,190.3808883328674,1.34822319084053
2.000400080016003,80.47720239665148,6.8461829216065,179.13247261274273,1.3665232448343336
2.1004200840168035,80.61592030133623,6.581383477483932,168.85532158458417,1.3848205534768745
2.2004400880176034,80.76487977813356,6.325536994489931,159.41225295069526,1.4031151171800065
2.3004600920184037,80.92346636730406,6.07800911843178,150.83105294076128,1.4214069363555226
2.400480096019204,81.09124659785358,5.838637647236214,143.07560454175098,1.439696011415153
2.500500100020004,81.26782589192423,5.6073347718453395,136.09817694147247,1.4579823427705665
2.6005201040208044,81.45283957428126,5.3840601906540035,129.84292049323136,1.47626593083337
2.7005401080216043,81.64595287231323,5.168821109509808,124.245866715831,1.4945467760151092
2.8005601120224046,81.8468609160319,4.961672241713094,119.23492829357212,1.5128248787272678
2.9005801160232045,82.05528873807226,4.7627158080169565,114.72989907625319,1.5311002393812672
3.000600120024005,82.2709912736926,4.5721015366272315,110.64245407917008,1.5493728583884678
3.100620124024805,82.49374801962578,4.3900092914795925,106.87886714580813,1.567642736160168
3.200640128025605,82.7231930913764,4.21608064843191,103.42822050442527,1.5859098731076047
3.3006601320264055,82.95894560342181,4.049828176636967,100.29836423797568,1.6041742696419528
3.4006801360272054,83.20068576506723,3.8909297940475316,97.47285752888837,1.6224359261743257
3.500700140028006,83.44811323867789,3.7391006074655264,94.9314284752854,1.6406948431157748
3.6007201440288057,83.700947139679,3.594092912542039,92.64997409098191,1.6589510208772904
3.700740148029606,83.95892603655584,3.455696193777313,90.60056030548606,1.6772044598698008
3.800760152030406,84.22180795085363,3.323737124520755,88.75142196399905,1.6954551605041726
3.9007801560312063,84.48937035717768,3.1980795669709283,87.06696282741515,1.7137031231912112
4.000800160032006,84.76141018319325,3.07862457217556,85.50775557232168,1.7319483483416596
4.100820164032807,85.0377054288827,2.965171953869244,84.05084532743115,1.7501908363662002
4.200840168033607,85.31799405559772,2.8573169494684407,82.70661693939586,1.7684305876754527
4.300860172034407,85.6020535242993,2.7547579829082456,81.47299498522409,1.7866676026799757
4.400880176035207,85.88967380653338,2.6572213267534295,80.34538242983245,1.8049018817902662
4.500900180036007,86.18065710777753,2.564460174092166,79.31679298812506,1.8231334254167602
4.6009201840368075,86.47481786744086,2.476254638536034,78.3778511249936,1.8413622339698308
4.700940188037608,86.77198275886404,2.392411754220017,77.5167920553173,1.859588307859791
4.800960192038408,87.07199068931932,2.312765475802504,76.7194617439629,1.877811647496891
4.900980196039208,87.37469280001054,2.2371766784652856,75.96931690578472,1.89603225329132
5.001000200040008,87.67995136909322,2.165529160089721,75.24796872546257,1.914250125653206
5.101020204040808,87.98760798194658,2.097599803374892,74.55427073885215,1.9324652649926155
