t,M,Ma,B,Ba,Bn,G,I,D,tD,E,R,Em
0.389,6524.9240,12844.5198,294.0557,7522349.3597,742965.0296,26.8410,42.6890,4551.2021,73562.9543,172.6350,170.2215,0.0433
0.39,6513.3569,12906.5900,294.0399,7539626.6175,746609.4414,26.8378,42.6742,4569.7928,73655.7385,173.1000,170.6631,0.0433
0.391,6501.7711,12968.6856,294.0240,7556893.3641,750261.7763,26.8344,42.6591,4588.3881,73747.5261,173.5652,171.1049,0.0434
0.392,6490.1675,13030.8058,294.0081,7574149.6003,753922.0266,26.8311,42.6441,4606.9885,73838.3214,174.0307,171.5467,0.0434
0.393,6478.5469,13092.9498,293.9922,7591395.3273,757590.1844,26.8280,42.6298,4625.5942,73928.1282,174.4964,171.9886,0.0435
0.394,6466.9100,13155.1167,293.9763,7608630.5458,761266.2422,26.8252,42.6170,4644.2055,74016.9508,174.9623,172.4307,0.0435
0.395,6455.2577,13217.3058,293.9605,7625855.2570,764950.1920,26.8230,42.6064,4662.8227,74104.7933,175.4285,172.8728,0.0436
0.396,6443.5908,13279.5162,293.9446,7643069.4619,768642.0262,26.8214,42.5987,4681.4462,74191.6599,175.8949,173.3151,0.0436
0.397,6431.9100,13341.7472,293.9287,7660273.1615,772341.7369,26.8209,42.5948,4700.0762,74277.5550,176.3615,173.7575,0.0437
0.398,6420.2163,13403.9980,293.9128,7677466.3570,776049.3165,26.8215,42.5957,4718.7130,74362.4827,176.8284,174.2000,0.0437
0.399,6408.5103,13466.2678,293.8969,7694649.0492,779764.7571,26.8236,42.6022,4737.3571,74446.4475,177.2955,174.6426,0.0438
0.4,6396.7928,13528.5558,293.8810,7711821.2393,783488.0511,26.8267,42.6128,4756.0088,74529.4535,177.7629,175.0853,0.0438
0.401,6385.0645,13590.8614,293.8651,7728982.9279,787219.1906,26.8303,42.6254,4774.6683,74611.5047,178.2305,175.5281,0.0439
0.402,6373.3263,13653.1837,293.8492,7746134.1163,790958.1678,26.8343,42.6394,4793.3360,74692.6054,178.6984,175.9711,0.0439
0.403,6361.5788,13715.5220,293.8333,7763274.8052,794704.9751,26.8385,42.6540,4812.0123,74772.7598,179.1665,176.4141,0.0440
0.404,6349.8228,13777.8756,293.8174,7780404.9959,798459.6047,26.8428,42.6687,4830.6974,74851.9720,179.6348,176.8573,0.0440
0.405,6338.0590,13840.2437,293.8015,7797524.6893,802222.0487,26.8469,42.6829,4849.3918,74930.2464,180.1034,177.3006,0.0441
0.406,6326.2882,13902.6257,293.7856,7814633.8866,805992.2995,26.8508,42.6961,4868.0958,75007.5873,180.5723,177.7441,0.0442
0.40700000000000003,6314.5110,13965.0208,293.7697,7831732.5888,809770.3492,26.8543,42.7079,4886.8097,75083.9990,181.0413,178.1876,0.0442
0.40800000000000003,6302.7281,14027.4284,293.7538,7848820.7971,813556.1901,26.8575,42.7180,4905.5340,75159.4858,181.5107,178.6313,0.0443
0.40900000000000003,6290.9403,14089.8477,293.7379,7865898.5126,817349.8145,26.8601,42.7260,4924.2690,75234.0520,181.9803,179.0751,0.0443
0.41000000000000003,6279.1482,14152.2780,293.7220,7882965.7365,821151.2145,26.8621,42.7317,4943.0151,75307.7021,182.4501,179.5190,0.0444
0.41100000000000003,6267.3525,14214.7187,293.7061,7900022.4700,824960.3824,26.8635,42.7351,4961.7727,75380.4404,182.9202,179.9631,0.0444
0.41200000000000003,6255.5539,14277.1690,293.6902,7917068.7143,828777.3104,26.8642,42.7358,4980.5422,75452.2714,183.3906,180.4072,0.0445
0.41300000000000003,6243.7531,14339.6284,293.6742,7934104.4705,832601.9908,26.8644,42.7340,4999.3240,75523.1995,183.8612,180.8515,0.0446
0.41400000000000003,6231.9506,14402.0962,293.6583,7951129.7401,836434.4157,26.8638,42.7297,5018.1184,75593.2292,184.3320,181.2960,0.0446
0.41500000000000004,6220.1473,14464.5717,293.6424,7968144.5242,840274.5775,26.8626,42.7229,5036.9260,75662.3650,184.8031,181.7405,0.0447
0.41600000000000004,6208.3437,14527.0542,293.6265,7985148.8242,844122.4683,26.8609,42.7138,5055.7471,75730.6114,185.2745,182.1852,0.0447
0.417,6196.5404,14589.5432,293.6106,8002142.6414,847978.0804,26.8586,42.7027,5074.5822,75797.9730,185.7462,182.6301,0.0448
0.418,6184.7381,14652.0380,293.5947,8019125.9771,851841.4059,26.8558,42.6898,5093.4317,75864.4543,186.2181,183.0750,0.0449
0.419,6172.9374,14714.5379,293.5787,8036098.8327,855712.4372,26.8527,42.6754,5112.2960,75930.0599,186.6902,183.5201,0.0449
0.42,6161.1389,14777.0424,293.5628,8053061.2096,859591.1664,26.8493,42.6601,5131.1756,75994.7945,187.1626,183.9653,0.0450
0.421,6149.3433,14839.5509,293.5469,8070013.1091,863477.5858,26.8458,42.6442,5150.0710,76058.6626,187.6353,184.4107,0.0450
0.422,6137.5511,14902.0627,293.5310,8086954.5328,867371.6876,26.8422,42.6283,5168.9826,76121.6689,188.1083,184.8562,0.0451
0.423,6125.7630,14964.5772,293.5150,8103885.4821,871273.4640,26.8388,42.6130,5187.9108,76183.8181,188.5815,185.3019,0.0452
0.424,6113.9794,15027.0940,293.4991,8120805.9584,875182.9073,26.8357,42.5990,5206.8562,76245.1150,189.0550,185.7476,0.0452
0.425,6102.2011,15089.6123,293.4832,8137715.9633,879100.0096,26.8331,42.5870,5225.8191,76305.5642,189.5287,186.1936,0.0453
0.426,6090.4285,15152.1316,293.4672,8154615.4982,883024.7632,26.8313,42.5778,5244.8002,76365.1705,190.0028,186.6396,0.0454
0.427,6078.6622,15214.6514,293.4513,8171504.5647,886957.1603,26.8303,42.5724,5263.7999,76423.9386,190.4771,187.0858,0.0454
0.428,6066.9028,15277.1711,293.4354,8188383.1644,890897.1932,26.8305,42.5715,5282.8187,76481.8735,190.9516,187.5322,0.0455
0.429,6055.1509,15339.6901,293.4194,8205251.2989,894844.8540,26.8321,42.5762,5301.8571,76538.9798,191.4265,187.9787,0.0455
0.43,6043.4070,15402.2079,293.4035,8222108.9696,898800.1350,26.8351,42.5863,5320.9156,76595.2623,191.9016,188.4253,0.0456
0.431,6031.6715,15464.7240,293.3875,8238956.1778,902763.0283,26.8387,42.5990,5339.9947,76650.7255,192.3770,188.8721,0.0457
0.432,6019.9452,15527.2378,293.3716,8255792.9251,906733.5264,26.8428,42.6132,5359.0948,76705.3739,192.8527,189.3191,0.0457
0.433,6008.2283,15589.7488,293.3556,8272619.2129,910711.6212,26.8471,42.6284,5378.2165,76759.2121,193.3286,189.7662,0.0458
0.434,5996.5216,15652.2566,293.3397,8289435.0429,914697.3052,26.8516,42.6438,5397.3603,76812.2447,193.8048,190.2134,0.0459
0.435,5984.8254,15714.7605,293.3237,8306240.4164,918690.5704,26.8559,42.6589,5416.5267,76864.4763,194.2813,190.6608,0.0460
0.436,5973.1403,15777.2601,293.3078,8323035.3351,922691.4092,26.8601,42.6732,5435.7161,76915.9114,194.7581,191.1083,0.0460
0.437,5961.4668,15839.7549,293.2918,8339819.8006,926699.8137,26.8639,42.6861,5454.9292,76966.5547,195.2352,191.5560,0.0461
0.438,5949.8053,15902.2444,293.2759,8356593.8146,930715.7761,26.8673,42.6973,5474.1664,77016.4108,195.7126,192.0039,0.0462
0.439,5938.1564,15964.7282,293.2599,8373357.3786,934739.2888,26.8702,42.7064,5493.4283,77065.4844,196.1902,192.4519,0.0462
0.44,5926.5205,16027.2057,293.2440,8390110.4944,938770.3439,26.8726,42.7133,5512.7153,77113.7799,196.6681,192.9001,0.0463
0.441,5914.8981,16089.6765,293.2280,8406853.1636,942808.9336,26.8743,42.7177,5532.0281,77161.3021,197.1464,193.3484,0.0464
0.442,5903.2896,16152.1401,293.2120,8423585.3880,946855.0502,26.8753,42.7194,5551.3671,77208.0556,197.6249,193.7969,0.0464
0.443,5891.6955,16214.5961,293.1961,8440307.1692,950908.6859,26.8756,42.7185,5570.7330,77254.0450,198.1037,194.2455,0.0465
0.444,5880.1162,16277.0440,293.1801,8457018.5091,954969.8330,26.8753,42.7149,5590.1262,77299.2749,198.5828,194.6944,0.0466
0.445,5868.5522,16339.4833,293.1641,8473719.4094,959038.4835,26.8743,42.7087,5609.5474,77343.7501,199.0621,195.1433,0.0467
0.446,5857.0040,16401.9137,293.1482,8490409.8719,963114.6299,26.8726,42.7001,5628.9970,77387.4751,199.5418,195.5925,0.0467
0.447,5845.4719,16464.3347,293.1322,8507089.8985,967198.2642,26.8704,42.6892,5648.4757,77430.4546,200.0218,196.0418,0.0468
0.448,5833.9563,16526.7459,293.1162,8523759.4910,971289.3788,26.8677,42.6764,5667.9840,77472.6934,200.5021,196.4913,0.0469
0.449,5822.4577,16589.1469,293.1003,8540418.6514,975387.9658,26.8646,42.6619,5687.5226,77514.1959,200.9827,196.9409,0.0469
0.45,5810.9765,16651.5373,293.0843,8557067.3814,979494.0175,26.8611,42.6463,5707.0919,77554.9670,201.4635,197.3908,0.0470
0.451,5799.5131,16713.9166,293.0683,8573705.6830,983607.5262,26.8574,42.6299,5726.6925,77595.0113,201.9447,197.8408,0.0471
0.452,5788.0678,16776.2844,293.0523,8590333.5582,987728.4839,26.8537,42.6134,5746.3252,77634.3335,202.4262,198.2909,0.0472
0.453,5776.6411,16838.6405,293.0364,8606951.0089,991856.8831,26.8501,42.5973,5765.9903,77672.9383,202.9080,198.7413,0.0472
0.454,5765.2333,16900.9843,293.0204,8623558.0372,995992.7158,26.8468,42.5823,5785.6887,77710.8303,203.3901,199.1918,0.0473
0.455,5753.8449,16963.3155,293.0044,8640154.6450,1000135.9744,26.8439,42.5692,5805.4208,77748.0144,203.8724,199.6425,0.0474
0.456,5742.4761,17025.6338,292.9884,8656740.8344,1004286.6510,26.8417,42.5588,5825.1872,77784.4951,204.3552,200.0933,0.0475
0.457,5731.1273,17087.9388,292.9724,8673316.6074,1008444.7379,26.8404,42.5520,5844.9887,77820.2772,204.8382,200.5444,0.0475
0.458,5719.7990,17150.2301,292.9565,8689881.9661,1012610.2273,26.8402,42.5496,5864.8257,77855.3653,205.3215,200.9956,0.0476
0.459,5708.4913,17212.5074,292.9405,8706436.9126,1016783.1115,26.8414,42.5528,5884.6990,77889.7644,205.8051,201.4470,0.0477
0.46,5697.2048,17274.7704,292.9245,8722981.4491,1020963.3826,26.8441,42.5620,5904.6091,77923.4789,206.2891,201.8986,0.0478
0.461,5685.9396,17337.0186,292.9085,8739515.5772,1025151.0330,26.8477,42.5743,5924.5567,77956.5133,206.7733,202.3504,0.0478
0.462,5674.6962,17399.2518,292.8925,8756039.2991,1029346.0549,26.8517,42.5885,5944.5424,77988.8720,207.2579,202.8024,0.0479
0.463,5663.4749,17461.4696,292.8765,8772552.6166,1033548.4404,26.8561,42.6037,5964.5667,78020.5593,207.7428,203.2545,0.0480
0.464,5652.2760,17523.6717,292.8605,8789055.5318,1037758.1819,26.8605,42.6192,5984.6303,78051.5798,208.2281,203.7069,0.0481
0.465,5641.0997,17585.8578,292.8445,8805548.0468,1041975.2715,26.8650,42.6346,6004.7338,78081.9377,208.7136,204.1594,0.0482
0.466,5629.9465,17648.0276,292.8285,8822030.1637,1046199.7016,26.8692,42.6491,6024.8778,78111.6376,209.1995,204.6122,0.0482
0.467,5618.8166,17710.1807,292.8125,8838501.8846,1050431.4643,26.8731,42.6625,6045.0630,78140.6837,209.6857,205.0651,0.0483
0.468,5607.7104,17772.3170,292.7965,8854963.2116,1054670.5520,26.8766,42.6741,6065.2899,78169.0806,210.1722,205.5182,0.0484
0.46900000000000003,5596.6280,17834.4359,292.7805,8871414.1468,1058916.9567,26.8797,42.6838,6085.5593,78196.8325,210.6590,205.9715,0.0485
0.47000000000000003,5585.5698,17896.5374,292.7645,8887854.6926,1063170.6709,26.8821,42.6912,6105.8717,78223.9438,211.1462,206.4250,0.0486
0.47100000000000003,5574.5361,17958.6210,292.7485,8904284.8510,1067431.6867,26.8840,42.6961,6126.2278,78250.4190,211.6337,206.8787,0.0486
0.47200000000000003,5563.5272,18020.6866,292.7324,8920704.6244,1071699.9963,26.8851,42.6984,6146.6282,78276.2623,212.1216,207.3326,0.0487
0.47300000000000003,5552.5433,18082.7337,292.7164,8937114.0149,1075975.5921,26.8856,42.6980,6167.0736,78301.4781,212.6097,207.7868,0.0488
0.47400000000000003,5541.5847,18144.7623,292.7004,8953513.0248,1080258.4663,26.8854,42.6950,6187.5646,78326.0708,213.0983,208.2411,0.0489
0.47500000000000003,5530.6516,18206.7719,292.6844,8969901.6565,1084548.6111,26.8846,42.6894,6208.1020,78350.0447,213.5871,208.6956,0.0490
0.47600000000000003,5519.7443,18268.7625,292.6684,8986279.9122,1088846.0188,26.8831,42.6813,6228.6862,78373.4042,214.0763,209.1503,0.0490
0.47700000000000004,5508.8631,18330.7336,292.6524,9002647.7943,1093150.6816,26.8810,42.6709,6249.3181,78396.1535,214.5658,209.6053,0.0491
0.47800000000000004,5498.0082,18392.6850,292.6364,9019005.3052,1097462.5918,26.8784,42.6585,6269.9982,78418.2969,215.0557,210.0604,0.0492
0.47900000000000004,5487.1797,18454.6166,292.6203,9035352.4473,1101781.7416,26.8754,42.6445,6290.7273,78439.8388,215.5459,210.5158,0.0493
0.48,5476.3781,18516.5280,292.6043,9051689.2229,1106108.1234,26.8720,42.6293,6311.5059,78460.7835,216.0365,210.9713,0.0494
0.481,5465.6034,18578.4191,292.5883,9068015.6346,1110441.7292,26.8685,42.6132,6332.3349,78481.1353,216.5274,211.4271,0.0495
0.482,5454.8559,18640.2897,292.5723,9084331.6848,1114782.5515,26.8649,42.5970,6353.2148,78500.8984,217.0187,211.8831,0.0495
0.483,5444.1358,18702.1394,292.5562,9100637.3759,1119130.5825,26.8613,42.5811,6374.1464,78520.0772,217.5103,212.3393,0.0496
0.484,5433.4433,18763.9681,292.5402,9116932.7105,1123485.8144,26.8580,42.5663,6395.1303,78538.6759,218.0022,212.7958,0.0497
0.485,5422.7787,18825.7756,292.5242,9133217.6912,1127848.2396,26.8552,42.5534,6416.1672,78556.6987,218.4945,213.2524,0.0498
0.486,5412.1421,18887.5617,292.5082,9149492.3204,1132217.8501,26.8530,42.5430,6437.2579,78574.1500,218.9872,213.7093,0.0499
0.487,5401.5336,18949.3262,292.4921,9165756.6008,1136594.6385,26.8517,42.5362,6458.4030,78591.0340,219.4803,214.1664,0.0500
0.488,5390.9536,19011.0689,292.4761,9182010.5349,1140978.5968,26.8515,42.5338,6479.6032,78607.3549,219.9736,214.6237,0.0501
0.489,5380.4021,19072.7896,292.4601,9198254.1255,1145369.7173,26.8527,42.5369,6500.8592,78623.1170,220.4674,215.0813,0.0501
0.49,5369.8794,19134.4882,292.4440,9214487.3750,1149767.9924,26.8554,42.5460,6522.1718,78638.3245,220.9615,215.5391,0.0502
0.491,5359.3856,19196.1644,292.4280,9230710.2858,1154173.4144,26.8589,42.5581,6543.5416,78652.9812,221.4560,215.9971,0.0503
0.492,5348.9209,19257.8181,292.4119,9246922.8604,1158585.9754,26.8628,42.5718,6564.9692,78667.0911,221.9508,216.4553,0.0504
0.493,5338.4854,19319.4490,292.3959,9263125.1013,1163005.6677,26.8670,42.5865,6586.4554,78680.6580,222.4461,216.9138,0.0505
0.494,5328.0794,19381.0571,292.3798,9279317.0110,1167432.4838,26.8714,42.6016,6608.0009,78693.6859,222.9417,217.3725,0.0506
0.495,5317.7030,19442.6422,292.3638,9295498.5922,1171866.4157,26.8756,42.6163,6629.6064,78706.1787,223.4376,217.8315,0.0507
0.496,5307.3564,19504.2041,292.3477,9311669.8474,1176307.4559,26.8797,42.6303,6651.2725,78718.1402,223.9340,218.2907,0.0508
0.497,5297.0396,19565.7426,292.3317,9327830.7792,1180755.5965,26.8835,42.6431,6673.0000,78729.5743,224.4307,218.7501,0.0508
0.498,5286.7529,19627.2575,292.3156,9343981.3904,1185210.8299,26.8869,42.6542,6694.7895,78740.4848,224.9278,219.2098,0.0509
0.499,5276.4964,19688.7489,292.2996,9360121.6835,1189673.1484,26.8898,42.6634,6716.6417,78750.8756,225.4252,219.6697,0.0510
0.5,5266.2703,19750.2164,292.2835,9376251.6614,1194142.5443,26.8921,42.6704,6738.5574,78760.7505,225.9231,220.1298,0.0511
0.501,5256.0746,19811.6600,292.2675,9392371.3266,1198619.0098,26.8938,42.6750,6760.5373,78770.1132,226.4213,220.5902,0.0512
0.502,5245.9095,19873.0795,292.2514,9408480.6820,1203102.5372,26.8949,42.6771,6782.5821,78778.9676,226.9199,221.0509,0.0513
0.503,5235.7752,19934.4748,292.2353,9424579.7303,1207593.1189,26.8954,42.6765,6804.6924,78787.3175,227.4190,221.5118,0.0514
0.504,5225.6717,19995.8457,292.2193,9440668.4743,1212090.7471,26.8952,42.6734,6826.8691,78795.1666,227.9184,221.9730,0.0515
0.505,5215.5991,20057.1922,292.2032,9456746.9168,1216595.4142,26.8943,42.6679,6849.1128,78802.5185,228.4182,222.4344,0.0516
0.506,5205.5576,20118.5141,292.1872,9472815.0606,1221107.1124,26.8929,42.6599,6871.4242,78809.3772,228.9183,222.8961,0.0517
0.507,5195.5473,20179.8114,292.1711,9488872.9086,1225625.8341,26.8909,42.6498,6893.8042,78815.7462,229.4189,223.3580,0.0518
0.508,5185.5683,20241.0838,292.1550,9504920.4638,1230151.5715,26.8884,42.6378,6916.2533,78821.6293,229.9199,223.8202,0.0518
0.509,5175.6207,20302.3314,292.1390,9520957.7289,1234684.3169,26.8855,42.6242,6938.7723,78827.0302,230.4213,224.2827,0.0519
0.51,5165.7046,20363.5539,292.1229,9536984.7069,1239224.0628,26.8823,42.6095,6961.3620,78831.9524,230.9231,224.7454,0.0520
0.511,5155.8200,20424.7514,292.1068,9553001.4008,1243770.8013,26.8789,42.5942,6984.0231,78836.3998,231.4253,225.2084,0.0521
0.512,5145.9670,20485.9236,292.0907,9569007.8136,1248324.5248,26.8755,42.5787,7006.7564,78840.3759,231.9279,225.6716,0.0522
0.513,5136.1458,20547.0706,292.0747,9585003.9482,1252885.2257,26.8721,42.5636,7029.5625,78843.8844,232.4309,226.1352,0.0523
0.514,5126.3564,20608.1923,292.0586,9600989.8076,1257452.8962,26.8691,42.5497,7052.4423,78846.9288,232.9343,226.5990,0.0524
0.515,5116.5989,20669.2885,292.0425,9616965.3950,1262027.5286,26.8665,42.5376,7075.3964,78849.5127,233.4382,227.0630,0.0525
0.516,5106.8733,20730.3592,292.0264,9632930.7133,1266609.1153,26.8645,42.5282,7098.4256,78851.6399,233.9424,227.5274,0.0526
0.517,5097.1798,20791.4044,292.0104,9648885.7657,1271197.6487,26.8635,42.5223,7121.5308,78853.3137,234.4471,227.9920,0.0527
0.518,5087.5182,20852.4239,291.9943,9664830.5553,1275793.1209,26.8636,42.5209,7144.7125,78854.5378,234.9522,228.4569,0.0528
0.519,5077.8888,20913.4178,291.9782,9680765.0852,1280395.5245,26.8650,42.5249,7167.9716,78855.3157,235.4577,228.9221,0.0529
0.52,5068.2916,20974.3859,291.9621,9696689.3585,1285004.8516,26.8678,42.5344,7191.3089,78855.6509,235.9636,229.3876,0.0530
0.521,5058.7266,21035.3282,291.9460,9712603.3779,1289621.0947,26.8712,42.5462,7214.7250,78855.5465,236.4700,229.8533,0.0531
0.522,5049.1939,21096.2446,291.9299,9728507.1466,1294244.2461,26.8751,42.5597,7238.2207,78855.0059,236.9768,230.3194,0.0532
0.523,5039.6935,21157.1351,291.9138,9744400.6674,1298874.2981,26.8792,42.5739,7261.7967,78854.0322,237.4840,230.7857,0.0533
0.524,5030.2256,21217.9996,291.8977,9760283.9436,1303511.2431,26.8834,42.5884,7285.4538,78852.6287,237.9917,231.2523,0.0533
0.525,5020.7900,21278.8380,291.8816,9776156.9781,1308155.0734,26.8875,42.6026,7309.1927,78850.7985,238.4998,231.7192,0.0534
0.526,5011.3870,21339.6503,291.8655,9792019.7741,1312805.7813,26.8914,42.6159,7333.0142,78848.5447,239.0083,232.1865,0.0535
0.527,5002.0165,21400.4365,291.8494,9807872.3348,1317463.3593,26.8950,42.6280,7356.9190,78845.8707,239.5173,232.6540,0.0536
0.528,4992.6785,21461.1965,291.8333,9823714.6632,1322127.7997,26.8982,42.6385,7380.9078,78842.7795,240.0267,233.1218,0.0537
0.529,4983.3732,21521.9303,291.8172,9839546.7625,1326799.0948,26.9009,42.6470,7404.9815,78839.2741,240.5366,233.5899,0.0538
0.53,4974.1005,21582.6378,291.8011,9855368.6360,1331477.2369,26.9031,42.6533,7429.1407,78835.3578,241.0469,234.0583,0.0539
0.531,4964.8605,21643.3190,291.7850,9871180.2869,1336162.2186,26.9047,42.6573,7453.3862,78831.0336,241.5576,234.5271,0.0540
0.532,4955.6531,21703.9738,291.7689,9886981.7184,1340854.0320,26.9057,42.6589,7477.7187,78826.3046,242.0688,234.9961,0.0541
0.533,4946.4784,21764.6023,291.7528,9902772.9337,1345552.6697,26.9060,42.6580,7502.1392,78821.1737,242.5805,235.4655,0.0542
0.534,4937.3365,21825.2045,291.7367,9918553.9363,1350258.1239,26.9057,42.6545,7526.6481,78815.6441,243.0927,235.9351,0.0543
0.535,4928.2273,21885.7802,291.7206,9934324.7293,1354970.3871,26.9048,42.6487,7551.2465,78809.7188,243.6052,236.4051,0.0544
0.536,4919.1509,21946.3295,291.7045,9950085.3162,1359689.4516,26.9033,42.6405,7575.9350,78803.4007,244.1183,236.8754,0.0545
0.537,4910.1072,22006.8524,291.6884,9965835.7002,1364415.3098,26.9012,42.6304,7600.7143,78796.6928,244.6318,237.3461,0.0546
0.538,4901.0962,22067.3489,291.6722,9981575.8848,1369147.9540,26.8987,42.6184,7625.5853,78789.5981,245.1458,237.8170,0.0547
0.539,4892.1180,22127.8189,291.6561,9997305.8734,1373887.3768,26.8959,42.6049,7650.5488,78782.1195,245.6603,238.2883,0.0548
0.54,4883.1726,22188.2625,291.6400,10013025.6694,1378633.5704,26.8927,42.5905,7675.6054,78774.2600,246.1752,238.7599,0.0549
0.541,4874.2599,22248.6796,291.6239,10028735.2763,1383386.5273,26.8894,42.5754,7700.7560,78766.0224,246.6906,239.2318,0.0550
0.542,4865.3800,22309.0703,291.6078,10044434.6975,1388146.2398,26.8861,42.5602,7726.0014,78757.4097,247.2065,239.7041,0.0551
0.543,4856.5328,22369.4346,291.5916,10060123.9365,1392912.7004,26.8829,42.5455,7751.3424,78748.4247,247.7229,240.1767,0.0552
0.544,4847.7183,22429.7724,291.5755,10075802.9969,1397685.9015,26.8799,42.5320,7776.7796,78739.0702,248.2398,240.6496,0.0553
0.545,4838.9364,22490.0839,291.5594,10091471.8822,1402465.8354,26.8774,42.5204,7802.3140,78729.3492,248.7571,241.1229,0.0554
0.546,4830.1873,22550.3689,291.5433,10107130.5960,1407252.4946,26.8756,42.5115,7827.9463,78719.2643,249.2749,241.5965,0.0555
0.547,4821.4707,22610.6276,291.5271,10122779.1418,1412045.8715,26.8747,42.5061,7853.6773,78708.8185,249.7933,242.0705,0.0556
0.548,4812.7868,22670.8599,291.5110,10138417.5232,1416845.9584,26.8749,42.5051,7879.5078,78698.0145,250.3121,242.5448,0.0557
0.549,4804.1354,22731.0660,291.4949,10154045.7440,1421652.7479,26.8764,42.5094,7905.4385,78686.8550,250.8314,243.0195,0.0558
0.55,4795.5166,22791.2457,291.4787,10169663.8076,1426466.2323,26.8792,42.5190,7931.4703,78675.3428,251.3512,243.4945,0.0559
0.551,4786.9303,22851.3992,291.4626,10185271.7174,1431286.4041,26.8827,42.5308,7957.6040,78663.4803,251.8716,243.9698,0.0560
0.552,4778.3765,22911.5264,291.4465,10200869.4769,1436113.2557,26.8866,42.5443,7983.8403,78651.2701,252.3924,244.4456,0.0561
0.553,4769.8552,22971.6274,291.4303,10216457.0896,1440946.7795,26.8907,42.5586,8010.1799,78638.7145,252.9137,244.9216,0.0563
0.554,4761.3663,23031.7021,291.4142,10232034.5590,1445786.9680,26.8949,42.5731,8036.6238,78625.8160,253.4356,245.3981,0.0564
0.555,4752.9099,23091.7506,291.3980,10247601.8888,1450633.8135,26.8990,42.5873,8063.1726,78612.5772,253.9580,245.8749,0.0565
0.556,4744.4858,23151.7730,291.3819,10263159.0826,1455487.3087,26.9029,42.6006,8089.8271,78599.0003,254.4809,246.3521,0.0566
0.557,4736.0942,23211.7692,291.3657,10278706.1439,1460347.4458,26.9065,42.6127,8116.5881,78585.0879,255.0043,246.8296,0.0567
0.558,4727.7348,23271.7393,291.3496,10294243.0764,1465214.2173,26.9098,42.6232,8143.4565,78570.8423,255.5282,247.3076,0.0568
0.559,4719.4077,23331.6833,291.3334,10309769.8838,1470087.6158,26.9125,42.6317,8170.4330,78556.2658,256.0527,247.7859,0.0569
0.56,4711.1129,23391.6013,291.3173,10325286.5697,1474967.6336,26.9147,42.6381,8197.5183,78541.3609,256.5777,248.2646,0.0570
0.561,4702.8503,23451.4933,291.3011,10340793.1380,1479854.2631,26.9163,42.6421,8224.7133,78526.1298,257.1032,248.7436,0.0571
0.562,4694.6198,23511.3592,291.2850,10356289.5923,1484747.4970,26.9172,42.6436,8252.0189,78510.5749,257.6293,249.2231,0.0572
0.5630000000000001,4686.4215,23571.1993,291.2688,10371775.9364,1489647.3276,26.9176,42.6426,8279.4357,78494.6984,258.1559,249.7029,0.0573
0.5640000000000001,4678.2552,23631.0134,291.2527,10387252.1741,1494553.7475,26.9172,42.6391,8306.9645,78478.5027,258.6830,250.1831,0.0574
0.5650000000000001,4670.1209,23690.8017,291.2365,10402718.3092,1499466.7490,26.9163,42.6331,8334.6063,78461.9900,259.2107,250.6637,0.0575
0.5660000000000001,4662.0186,23750.5643,291.2203,10418174.3456,1504386.3247,26.9148,42.6249,8362.3618,78445.1626,259.7390,251.1448,0.0576
0.5670000000000001,4653.9481,23810.3011,291.2042,10433620.2870,1509312.4670,26.9127,42.6145,8390.2317,78428.0226,260.2678,251.6262,0.0577
0.5680000000000001,4645.9095,23870.0122,291.1880,10449056.1374,1514245.1685,26.9101,42.6024,8418.2170,78410.5722,260.7971,252.1080,0.0578
0.5690000000000001,4637.9027,23929.6976,291.1718,10464481.9006,1519184.4217,26.9072,42.5887,8446.3183,78392.8138,261.3270,252.5902,0.0579
0.5700000000000001,4629.9276,23989.3575,291.1557,10479897.5807,1524130.2189,26.9040,42.5739,8474.5367,78374.7493,261.8575,253.0728,0.0580
0.5710000000000001,4621.9841,24048.9919,291.1395,10495303.1815,1529082.5528,26.9006,42.5585,8502.8727,78356.3811,262.3886,253.5558,0.0582
0.5720000000000001,4614.0722,24108.6009,291.1233,10510698.7070,1534041.4158,26.8971,42.5429,8531.3273,78337.7111,262.9202,254.0393,0.0583
0.5730000000000001,4606.1918,24168.1845,291.1072,10526084.1612,1539006.8005,26.8938,42.5278,8559.9014,78318.7416,263.4523,254.5232,0.0584
0.5740000000000001,4598.3428,24227.7428,291.0910,10541459.5481,1543978.6993,26.8907,42.5138,8588.5956,78299.4746,263.9851,255.0074,0.0585
0.5750000000000001,4590.5251,24287.2759,291.0748,10556824.8718,1548957.1048,26.8881,42.5017,8617.4108,78279.9123,264.5184,255.4921,0.0586
0.5760000000000001,4582.7388,24346.7838,291.0587,10572180.1364,1553942.0095,26.8861,42.4921,8646.3479,78260.0565,265.0523,255.9773,0.0587
0.577,4574.9835,24406.2666,291.0425,10587525.3459,1558933.4059,26.8850,42.4860,8675.4077,78239.9095,265.5869,256.4628,0.0588
0.578,4567.2594,24465.7244,291.0263,10602860.5044,1563931.2865,26.8850,42.4842,8704.5911,78219.4732,266.1219,256.9488,0.0589
0.579,4559.5663,24525.1574,291.0101,10618185.6160,1568935.6438,26.8863,42.4877,8733.8988,78198.7497,266.6576,257.4352,0.0590
0.58,4551.9041,24584.5655,290.9939,10633500.6850,1573946.4705,26.8890,42.4968,8763.3316,78177.7408,267.1939,257.9221,0.0591
